br_class,mode,case_id,z1,z2,z3,rdx,rdy,rdz,cgx,cgy,cgz,devx,devy,devz,placed,unplaced,elapsed,timestamp_utc,run_id
BR1,six_way,3,0.905649,0.0,7.8163,6.2154,1.8919,2.6731,276.1956,114.2959,107.0596,18.3044,2.2041,2.9404,113,14,0.026556,2026-01-03T16:24:36.080272Z,20260103_162436.080272_seed0_six_way
BR1,six_way,4,0.937674,0.0,2.6786,0.4231,3.0589,2.9329,293.2541,112.9364,106.7738,1.2459,3.5636,3.2262,165,32,0.084029,2026-01-03T16:26:01.875835Z,20260103_162601.875835_seed0_six_way
BR1,six_way,5,0.909084,0.0,5.4887,3.8807,0.0697,4.5056,283.0714,116.5812,105.0438,11.4286,0.0812,4.9562,127,9,0.032729,2026-01-03T16:27:33.817423Z,20260103_162733.817423_seed0_six_way
BR1,six_way,6,0.912855,0.0,3.691,0.4694,5.2881,3.2089,293.1176,110.3393,106.4702,1.3824,6.1607,3.5298,127,20,0.029334,2026-01-03T16:28:22.213026Z,20260103_162822.213026_seed0_six_way
BR1,six_way,7,0.714166,0.0,5.152,0.6067,7.3004,4.6949,292.7133,107.9951,104.8356,1.7867,8.5049,5.1644,107,19,0.082597,2026-01-03T16:29:18.174532Z,20260103_162918.174532_seed0_six_way
BR1,six_way,8,0.899259,0.0,3.9175,1.5279,0.1918,6.3905,290.0004,116.7234,102.9704,4.4996,0.2234,7.0296,166,14,0.031901,2026-01-03T16:31:14.756779Z,20260103_163114.756779_seed0_six_way
BR1,six_way,9,0.896485,0.0,7.3172,4.6255,1.0254,6.4864,280.878,115.3054,102.8649,13.622,1.1946,7.1351,94,7,0.009324,2026-01-03T16:31:49.500801Z,20260103_163149.500801_seed0_six_way
BR1,six_way,10,0.863341,0.0,5.446,0.6992,7.2564,5.2956,292.4409,108.0462,104.1749,2.0591,8.4538,5.8251,121,9,0.023129,2026-01-03T16:32:32.735140Z,20260103_163232.735140_seed0_six_way
BR1,six_way,11,0.881056,0.0,7.4209,4.0896,4.8498,4.1533,282.456,110.85,105.4314,12.044,5.65,4.5686,91,11,0.014761,2026-01-03T16:32:52.854031Z,20260103_163252.854031_seed0_six_way
BR1,six_way,12,0.911714,0.0,5.8617,2.3351,3.6582,5.8605,287.6231,112.2382,103.5535,6.8769,4.2618,6.4465,91,13,0.019919,2026-01-03T16:33:24.091740Z,20260103_163324.091740_seed0_six_way
