br_class,mode,case_id,z1,z2,z3,rdx,rdy,rdz,cgx,cgy,cgz,devx,devy,devz,placed,unplaced,elapsed,timestamp_utc,run_id
BR0,six_way,51,0.83103,0.0,10.129293,8.4077,0.1691,4.9366,269.7394,116.303,104.5697,24.7606,0.197,5.4303,165,32,0.38354,2025-12-26T14:14:18.699551Z,20251226_141418.699551_seed0_six_way
BR0,six_way,52,0.865827,0.0,7.420765,3.1966,7.6479,3.5805,285.0861,107.5902,106.0615,9.4139,8.9098,3.9385,122,18,0.151051,2025-12-26T14:14:18.862341Z,20251226_141418.862341_seed0_six_way
BR0,six_way,53,0.854268,0.0,4.813696,2.2323,2.9083,4.0717,287.926,113.1118,105.5211,6.574,3.3882,4.4789,331,55,2.099402,2025-12-26T14:14:20.991164Z,20251226_141420.991164_seed0_six_way
BR0,six_way,54,0.851307,0.0,9.259036,5.6876,2.3476,7.5383,277.75,113.7651,101.7078,16.75,2.7349,8.2922,166,28,0.313975,2025-12-26T14:14:21.339370Z,20251226_141421.339370_seed0_six_way
BR0,six_way,55,0.80201,0.0,9.847826,2.1887,9.0968,11.3636,288.0543,105.9022,97.5,6.4457,10.5978,12.5,92,22,0.074013,2025-12-26T14:14:21.437123Z,20251226_141421.437123_seed0_six_way
BR0,six_way,56,0.793679,0.0,11.494764,4.4063,10.997,7.9058,281.5236,103.6885,101.3037,12.9764,12.8115,8.6963,191,48,0.567914,2025-12-26T14:14:22.017030Z,20251226_141422.017030_seed0_six_way
BR0,six_way,57,0.805627,0.0,9.952381,3.6416,6.648,10.3525,283.7755,108.7551,98.6122,10.7245,7.7449,11.3878,98,23,0.117275,2025-12-26T14:14:22.146292Z,20251226_141422.146292_seed0_six_way
BR0,six_way,58,0.699732,0.0,15.537037,3.6848,13.7498,17.9461,283.6481,100.4815,90.2593,10.8519,16.0185,19.7407,54,22,0.02917,2025-12-26T14:14:22.202884Z,20251226_141422.202884_seed0_six_way
BR0,six_way,59,0.740604,0.0,10.601626,0.9759,9.955,15.7576,291.626,104.9024,92.6667,2.874,11.5976,17.3333,123,42,0.231691,2025-12-26T14:14:22.445996Z,20251226_141422.445996_seed0_six_way
BR0,six_way,60,0.679676,0.0,17.666667,7.3005,7.2961,20.9091,273.0,108.0,87.0,21.5,8.5,23.0,63,29,0.054569,2025-12-26T14:14:22.512555Z,20251226_141422.512555_seed0_six_way
BR0,six_way,61,0.707024,0.0,16.833333,7.4703,12.4464,12.7273,272.5,102.0,96.0,22.0,14.5,14.0,45,18,0.024681,2025-12-26T14:14:22.565212Z,20251226_141422.565212_seed0_six_way
BR0,six_way,62,0.70111,0.0,15.5,4.936,18.9422,8.9962,279.9635,94.4323,100.1042,14.5365,22.0677,9.8958,96,40,0.125617,2025-12-26T14:14:22.720126Z,20251226_141422.720126_seed0_six_way
BR0,six_way,63,0.742874,0.0,10.893443,2.7081,2.3851,19.9329,286.5246,113.7213,88.0738,7.9754,2.7787,21.9262,61,20,0.043895,2025-12-26T14:14:22.775135Z,20251226_141422.775135_seed0_six_way
BR0,six_way,64,0.852277,0.0,7.695375,4.8732,5.3165,2.3097,280.1483,110.3062,107.4593,14.3517,6.1938,2.5407,209,35,0.458116,2025-12-26T14:14:23.247208Z,20251226_141423.247208_seed0_six_way
BR0,six_way,65,0.843067,0.0,6.881086,4.8921,0.1097,5.5529,280.0927,116.3722,103.8919,14.4073,0.1278,6.1081,356,64,2.321031,2025-12-26T14:14:25.596130Z,20251226_141425.596130_seed0_six_way
BR0,six_way,66,0.800839,0.0,10.062176,3.6093,4.3541,13.1677,283.8705,111.4275,95.5155,10.6295,5.0725,14.4845,193,47,0.598068,2025-12-26T14:14:26.210255Z,20251226_141426.210255_seed0_six_way
BR0,six_way,67,0.700044,0.0,17.593567,7.5552,12.2619,14.7687,272.25,102.2149,93.7544,22.25,14.2851,16.2456,114,48,0.162194,2025-12-26T14:14:26.404702Z,20251226_141426.404702_seed0_six_way
BR0,six_way,68,0.862508,0.0,4.854015,2.4699,3.4617,2.9595,287.2263,112.4672,106.7445,7.2737,4.0328,3.2555,274,42,1.35785,2025-12-26T14:14:27.793147Z,20251226_141427.793147_seed0_six_way
