br_class,mode,case_id,z1,z2,z3,rdx,rdy,rdz,cgx,cgy,cgz,devx,devy,devz,placed,unplaced,elapsed,timestamp_utc,run_id
BR0,six_way,69,0.858396,28.0,6.220974,1.7875,0.053,12.1246,289.236,116.4382,96.6629,5.264,0.0618,13.3371,178,28,0.196507,2025-12-25T16:23:36.956213Z,20251225_162336.956213_seed0_six_way
BR0,six_way,70,0.854211,85.0,5.788586,0.2623,3.8627,10.994,293.7276,112.0,97.9066,0.7724,4.5,12.0934,514,85,2.698119,2025-12-25T16:23:39.672064Z,20251225_162339.672064_seed0_six_way
BR0,six_way,71,0.663564,25.0,17.088235,4.7938,17.2936,15.4545,280.3824,96.3529,93.0,14.1176,20.1471,17.0,51,25,0.013601,2025-12-25T16:23:39.700359Z,20251225_162339.700359_seed0_six_way
BR0,six_way,72,0.739456,12.0,12.0,2.2071,18.4549,7.2727,288.0,95.0,102.0,6.5,21.5,8.0,36,12,0.006081,2025-12-25T16:23:39.717994Z,20251225_162339.717994_seed0_six_way
BR0,six_way,73,0.772938,27.0,10.375,2.1965,7.0547,14.9432,288.0312,108.2812,93.5625,6.4688,8.2188,16.4375,96,27,0.04671,2025-12-25T16:23:39.775280Z,20251225_162339.775280_seed0_six_way
BR0,six_way,74,0.807391,12.0,12.935897,4.7538,9.244,12.7622,280.5,105.7308,95.9615,14.0,10.7692,14.0385,52,12,0.021433,2025-12-25T16:23:39.813374Z,20251225_162339.813374_seed0_six_way
BR0,six_way,75,0.845409,23.0,7.95641,1.0448,12.4728,5.6923,297.5769,101.9692,103.7385,3.0769,14.5308,6.2615,130,23,0.084885,2025-12-25T16:23:39.912631Z,20251225_162339.912631_seed0_six_way
BR0,six_way,76,0.854769,44.0,5.912281,0.7015,9.1597,4.5455,292.4342,105.8289,105.0,2.0658,10.6711,5.0,266,44,0.457487,2025-12-25T16:23:40.385173Z,20251225_162340.385173_seed0_six_way
BR0,six_way,77,0.914991,12.0,3.833333,0.8489,6.0086,1.8182,292.0,109.5,108.0,2.5,7.0,2.0,144,12,0.095045,2025-12-25T16:23:40.492225Z,20251225_162340.492225_seed0_six_way
BR0,six_way,78,0.804523,19.0,10.166667,3.7351,12.2556,4.7475,283.5,102.2222,104.7778,11.0,14.2778,5.2222,81,19,0.027524,2025-12-25T16:23:40.532097Z,20251225_162340.532097_seed0_six_way
BR0,six_way,79,0.673981,68.0,15.0,2.2071,17.5966,16.3636,288.0,96.0,92.0,6.5,20.5,18.0,144,68,0.13963,2025-12-25T16:23:40.700266Z,20251225_162340.700266_seed0_six_way
